customer_id,recency,frequency,monetary,ml_cluster,rfm_segment,r_score,f_score,m_score
CUST_00100,25,19,4532.57,7,Champions,5,5,5
CUST_00101,425,5,189.41,1,Hibernating,2,2,1
CUST_00102,122,2,60.56,4,New Customers,4,1,1
CUST_00103,291,10,1935.3200000000002,6,Need Attention,3,3,4
CUST_00104,114,6,388.99,2,Potential Loyalists,4,2,2
CUST_00105,522,4,609.22,1,Hibernating,2,2,2
CUST_00106,537,8,957.6999999999999,1,At Risk,1,3,3
CUST_00107,289,21,6900.63,0,Loyal Customers,3,5,5
CUST_00108,181,6,688.94,4,Potential Loyalists,4,2,2
CUST_00109,490,2,26.33,1,Hibernating,2,1,1
CUST_00110,455,18,3113.4300000000003,6,Cannot Lose Them,2,4,4
CUST_00111,671,2,173.63,5,Hibernating,1,1,1
CUST_00112,847,1,31.67,5,Hibernating,1,1,1
CUST_00113,783,2,146.66,5,Hibernating,1,1,1
CUST_00114,102,2,459.54,4,New Customers,4,1,2
CUST_00115,287,3,284.45,4,Need Attention,3,2,2
CUST_00116,140,2,249.69,4,New Customers,4,1,1
CUST_00117,375,8,1130.29,1,At Risk,2,3,3
CUST_00118,44,35,10583.52,3,Champions,5,5,5
CUST_00119,381,34,11385.54,3,Cannot Lose Them,2,5,5
CUST_00120,25,5,891.27,2,Potential Loyalists,5,2,3
CUST_00121,271,7,547.0799999999999,4,Need Attention,3,2,2
CUST_00122,44,7,742.63,2,Potential Loyalists,5,2,2
CUST_00123,12,10,2623.31,2,Potential Loyalists,5,3,4
CUST_00124,270,8,654.02,4,Need Attention,3,3,2
CUST_00125,415,34,11398.79,3,Cannot Lose Them,2,5,5
CUST_00126,9,8,625.71,2,Potential Loyalists,5,3,2
CUST_00127,14,11,1187.41,2,Loyal Customers,5,4,3
CUST_00128,399,37,9616.07,3,Cannot Lose Them,2,5,5
CUST_00129,236,8,992.92,4,Need Attention,3,3,3
CUST_00130,546,2,185.78,1,Hibernating,1,1,1
CUST_00131,538,23,5054.07,0,Cannot Lose Them,1,5,5
CUST_00132,195,11,1888.33,6,Champions,4,4,4
CUST_00133,360,18,5592.3,0,Loyal Customers,3,4,5
CUST_00134,772,1,34.32,5,Hibernating,1,1,1
CUST_00135,355,2,267.9,4,Need Attention,3,1,1
CUST_00136,451,8,916.24,1,At Risk,2,3,3
CUST_00137,31,9,1814.52,2,Potential Loyalists,5,3,4
CUST_00138,750,1,100.81,5,Hibernating,1,1,1
CUST_00139,239,37,8962.54,3,Loyal Customers,3,5,5
CUST_00140,664,11,1798.0,1,Cannot Lose Them,1,4,4
CUST_00141,700,10,2375.4300000000003,5,Cannot Lose Them,1,3,4
CUST_00142,33,8,1324.56,2,Potential Loyalists,5,3,3
CUST_00143,437,17,2739.28,6,Cannot Lose Them,2,4,4
CUST_00144,257,29,8719.91,3,Loyal Customers,3,5,5
CUST_00145,24,15,2813.7200000000003,2,Champions,5,4,4
CUST_00146,247,19,5716.3,7,Loyal Customers,3,5,5
CUST_00147,59,29,8612.72,7,Champions,4,5,5
CUST_00148,646,4,462.85999999999996,5,Hibernating,1,2,2
CUST_00149,742,1,14.04,5,Hibernating,1,1,1
CUST_00150,358,7,1257.4199999999998,4,Need Attention,3,2,3
CUST_00151,267,2,180.96,4,Need Attention,3,1,1
CUST_00152,604,1,24.15,5,Hibernating,1,1,1
CUST_00153,87,5,461.84,2,Potential Loyalists,4,2,2
CUST_00154,534,23,4894.83,0,Cannot Lose Them,1,5,5
CUST_00155,441,8,1605.8300000000002,1,At Risk,2,3,3
CUST_00156,661,23,7542.14,0,Cannot Lose Them,1,5,5
CUST_00157,448,9,911.84,1,At Risk,2,3,3
CUST_00158,281,14,2127.56,6,Loyal Customers,3,4,4
CUST_00159,193,10,1656.84,2,Potential Loyalists,4,3,4
CUST_00160,402,2,83.91,1,Hibernating,2,1,1
CUST_00161,563,1,24.69,1,Hibernating,1,1,1
CUST_00162,793,2,144.93,5,Hibernating,1,1,1
CUST_00163,162,8,833.39,2,Potential Loyalists,4,3,3
CUST_00164,512,4,497.43999999999994,1,Hibernating,2,2,2
CUST_00165,246,9,1881.2,6,Need Attention,3,3,4
CUST_00166,101,8,791.4,2,Potential Loyalists,4,3,2
CUST_00167,379,6,765.16,4,Hibernating,2,2,2
CUST_00168,3,17,4418.39,7,Champions,5,4,5
CUST_00169,701,3,384.84000000000003,5,Hibernating,1,2,2
CUST_00170,366,35,11928.73,3,Cannot Lose Them,2,5,5
CUST_00171,433,5,259.13,1,Hibernating,2,2,1
CUST_00172,7,10,1528.83,2,Potential Loyalists,5,3,3
CUST_00173,262,18,3740.0299999999997,6,Loyal Customers,3,4,4
CUST_00174,130,6,552.9,2,Potential Loyalists,4,2,2
CUST_00175,118,15,2034.91,2,Champions,4,4,4
CUST_00176,1,19,5793.2,7,Champions,5,5,5
CUST_00177,37,7,1331.43,2,Potential Loyalists,5,2,3
CUST_00178,57,32,11542.41,3,Champions,5,5,5
CUST_00179,679,1,22.05,5,Hibernating,1,1,1
CUST_00180,512,31,7561.53,0,Cannot Lose Them,2,5,5
CUST_00181,227,17,2055.01,6,Loyal Customers,3,4,4
CUST_00182,359,2,204.52,4,Need Attention,3,1,1
CUST_00183,709,4,641.51,5,Hibernating,1,2,2
CUST_00184,619,21,6276.87,0,Cannot Lose Them,1,5,5
CUST_00185,74,2,246.28,2,New Customers,4,1,1
CUST_00186,288,8,640.81,4,Need Attention,3,3,2
CUST_00187,25,11,1094.82,2,Loyal Customers,5,4,3
CUST_00188,138,31,7305.2,7,Champions,4,5,5
CUST_00189,785,2,148.59,5,Hibernating,1,1,1
CUST_00190,98,10,909.26,2,Potential Loyalists,4,3,3
CUST_00191,342,3,304.65999999999997,4,Need Attention,3,2,2
CUST_00192,274,38,14464.789999999999,3,Loyal Customers,3,5,5
CUST_00193,94,27,4909.98,7,Champions,4,5,5
CUST_00194,201,5,749.27,4,Potential Loyalists,4,2,2
CUST_00195,1,30,10817.23,3,Champions,5,5,5
CUST_00196,7,9,1821.8999999999999,2,Potential Loyalists,5,3,4
CUST_00197,22,9,1397.13,2,Potential Loyalists,5,3,3
CUST_00198,1,25,8504.63,7,Champions,5,5,5
CUST_00199,595,1,121.5,1,Hibernating,1,1,1
CUST_00200,127,21,5094.46,7,Champions,4,5,5
CUST_00201,111,8,1550.88,2,Potential Loyalists,4,3,3
CUST_00202,147,8,1590.47,2,Potential Loyalists,4,3,3
CUST_00203,381,12,1677.79,6,Cannot Lose Them,2,4,4
CUST_00204,416,2,118.93,1,Hibernating,2,1,1
CUST_00205,146,3,293.28,4,Potential Loyalists,4,2,2
CUST_00206,286,36,14018.869999999999,3,Loyal Customers,3,5,5
CUST_00207,43,9,2510.73,2,Potential Loyalists,5,3,4
CUST_00208,657,10,1065.7,1,At Risk,1,3,3
CUST_00209,19,22,3369.46,7,Champions,5,5,4
CUST_00210,16,37,9841.74,3,Champions,5,5,5
CUST_00211,355,13,1913.1100000000001,6,Loyal Customers,3,4,4
CUST_00212,615,5,1408.28,1,Hibernating,1,2,3
CUST_00213,524,25,5964.68,0,Cannot Lose Them,2,5,5
CUST_00214,533,19,6876.34,0,Cannot Lose Them,1,5,5
CUST_00215,36,10,1512.9299999999998,2,Potential Loyalists,5,3,3
CUST_00216,696,5,1122.44,5,Hibernating,1,2,3
CUST_00217,7,28,9000.63,7,Champions,5,5,5
CUST_00218,405,14,2504.9700000000003,6,Cannot Lose Them,2,4,4
CUST_00219,114,9,902.96,2,Potential Loyalists,4,3,3
CUST_00220,272,1,153.94,4,Need Attention,3,1,1
CUST_00221,305,7,1065.75,4,Need Attention,3,2,3
CUST_00222,7,5,406.07000000000005,2,Potential Loyalists,5,2,2
CUST_00223,543,6,746.15,1,Hibernating,1,2,2
CUST_00224,292,7,479.51,4,Need Attention,3,2,2
CUST_00225,361,4,726.63,4,Need Attention,3,2,2
CUST_00226,295,2,89.50999999999999,4,Need Attention,3,1,1
CUST_00227,50,5,625.3,2,Potential Loyalists,5,2,2
CUST_00228,43,11,2258.32,2,Champions,5,4,4
CUST_00229,301,3,369.75,4,Need Attention,3,2,2
CUST_00230,1,34,9331.79,3,Champions,5,5,5
CUST_00231,254,17,2567.18,6,Loyal Customers,3,4,4
CUST_00232,360,27,6923.15,0,Loyal Customers,3,5,5
CUST_00233,606,11,1796.75,1,Cannot Lose Them,1,4,4
CUST_00234,491,7,1217.33,1,Hibernating,2,2,3
CUST_00235,8,23,6799.46,7,Champions,5,5,5
CUST_00236,108,6,1106.81,2,Potential Loyalists,4,2,3
CUST_00237,531,10,1217.58,1,At Risk,1,3,3
CUST_00238,19,11,1349.68,2,Loyal Customers,5,4,3
CUST_00239,16,2,47.7,2,New Customers,5,1,1
CUST_00240,155,2,165.8,4,New Customers,4,1,1
CUST_00241,383,30,12587.44,3,Cannot Lose Them,2,5,5
CUST_00242,22,29,8176.110000000001,7,Champions,5,5,5
CUST_00243,128,2,138.82,4,New Customers,4,1,1
CUST_00244,37,8,1968.94,2,Potential Loyalists,5,3,4
CUST_00245,390,1,43.62,4,Hibernating,2,1,1
CUST_00246,132,18,5735.83,7,Champions,4,4,5
CUST_00247,229,1,15.52,4,Need Attention,3,1,1
CUST_00248,811,2,308.04,5,Hibernating,1,1,2
CUST_00249,74,6,337.92,2,Potential Loyalists,4,2,2
CUST_00250,33,14,2678.84,2,Champions,5,4,4
CUST_00251,348,4,104.99000000000001,4,Need Attention,3,2,1
CUST_00252,545,2,388.90999999999997,1,Hibernating,1,1,2
CUST_00253,6,23,8302.43,7,Champions,5,5,5
CUST_00254,38,10,1309.43,2,Potential Loyalists,5,3,3
CUST_00255,234,4,338.01,4,Need Attention,3,2,2
CUST_00256,44,31,9091.65,3,Champions,5,5,5
CUST_00257,441,4,493.41999999999996,1,Hibernating,2,2,2
CUST_00258,886,1,37.02,5,Hibernating,1,1,1
CUST_00259,346,34,7701.89,0,Loyal Customers,3,5,5
CUST_00260,444,2,258.67,1,Hibernating,2,1,1
CUST_00261,133,8,1277.57,2,Potential Loyalists,4,3,3
CUST_00262,56,11,1840.95,2,Champions,5,4,4
CUST_00263,565,32,7750.11,0,Cannot Lose Them,1,5,5
CUST_00264,88,27,7184.23,7,Champions,4,5,5
CUST_00265,374,5,876.97,4,Hibernating,2,2,3
CUST_00266,3,29,10246.08,3,Champions,5,5,5
CUST_00267,350,1,46.67,4,Need Attention,3,1,1
CUST_00268,549,1,17.35,1,Hibernating,1,1,1
CUST_00269,130,14,2486.09,2,Champions,4,4,4
CUST_00270,348,9,1074.83,4,Need Attention,3,3,3
CUST_00271,639,1,26.43,5,Hibernating,1,1,1
CUST_00272,577,20,3990.04,0,Cannot Lose Them,1,5,5
CUST_00273,247,34,10903.78,3,Loyal Customers,3,5,5
CUST_00274,311,28,7864.93,0,Loyal Customers,3,5,5
CUST_00275,271,14,2336.79,6,Loyal Customers,3,4,4
CUST_00276,228,6,883.66,4,Need Attention,3,2,3
CUST_00277,781,4,218.72,5,Hibernating,1,2,1
CUST_00278,30,8,1026.58,2,Potential Loyalists,5,3,3
CUST_00279,113,4,333.15,4,Potential Loyalists,4,2,2
CUST_00280,668,1,61.86,5,Hibernating,1,1,1
CUST_00281,775,2,456.96000000000004,5,Hibernating,1,1,2
CUST_00282,1,9,1114.71,2,Potential Loyalists,5,3,3
CUST_00283,585,6,666.01,1,Hibernating,1,2,2
CUST_00284,397,16,2381.65,6,Cannot Lose Them,2,4,4
CUST_00285,407,30,8497.35,0,Cannot Lose Them,2,5,5
CUST_00286,685,8,1062.98,5,At Risk,1,3,3
CUST_00287,481,8,790.5400000000001,1,At Risk,2,3,2
CUST_00288,22,9,1306.35,2,Potential Loyalists,5,3,3
CUST_00289,472,4,501.80999999999995,1,Hibernating,2,2,2
CUST_00290,423,1,40.83,1,Hibernating,2,1,1
CUST_00291,102,18,3878.02,6,Champions,4,4,5
CUST_00292,564,1,13.05,1,Hibernating,1,1,1
CUST_00293,326,7,719.47,4,Need Attention,3,2,2
CUST_00294,601,10,1646.9,1,At Risk,1,3,3
CUST_00295,467,1,103.81,1,Hibernating,2,1,1
CUST_00296,91,24,7013.49,7,Champions,4,5,5
CUST_00297,24,10,2076.83,2,Potential Loyalists,5,3,4
CUST_00298,883,1,65.28,5,Hibernating,1,1,1
CUST_00299,127,36,10233.04,3,Champions,4,5,5
CUST_00300,616,29,8423.34,0,Cannot Lose Them,1,5,5
CUST_00301,70,13,2065.73,2,Champions,4,4,4
CUST_00302,566,2,104.81,1,Hibernating,1,1,1
CUST_00303,249,15,3657.04,6,Loyal Customers,3,4,4
CUST_00304,235,11,1324.46,6,Loyal Customers,3,4,3
CUST_00305,121,7,1109.45,2,Potential Loyalists,4,2,3
CUST_00306,289,7,347.19,4,Need Attention,3,2,2
CUST_00307,596,6,573.89,1,Hibernating,1,2,2
CUST_00308,326,8,931.8100000000001,4,Need Attention,3,3,3
CUST_00309,579,12,971.66,1,Loyal Customers,1,4,3
CUST_00310,210,15,1627.98,6,Loyal Customers,4,4,3
CUST_00311,492,3,425.81,1,Hibernating,2,2,2
CUST_00312,276,15,2376.74,6,Loyal Customers,3,4,4
CUST_00313,188,36,8145.67,3,Champions,4,5,5
CUST_00314,371,2,74.2,4,Hibernating,2,1,1
CUST_00315,391,7,658.45,1,Hibernating,2,2,2
CUST_00316,632,8,777.99,1,At Risk,1,3,2
CUST_00317,261,9,1206.77,4,Need Attention,3,3,3
CUST_00318,26,12,2033.93,2,Champions,5,4,4
CUST_00319,858,1,37.68,5,Hibernating,1,1,1
CUST_00320,111,26,6159.37,7,Champions,4,5,5
CUST_00321,588,10,1269.67,1,At Risk,1,3,3
CUST_00322,74,41,10752.62,3,Champions,4,5,5
CUST_00323,264,15,1917.5,6,Loyal Customers,3,4,4
CUST_00324,98,38,12306.27,3,Champions,4,5,5
CUST_00325,473,9,1277.96,1,At Risk,2,3,3
CUST_00326,267,8,930.54,4,Need Attention,3,3,3
CUST_00327,637,2,43.59,5,Hibernating,1,1,1
CUST_00328,23,7,904.44,2,Potential Loyalists,5,2,3
CUST_00329,318,23,5988.41,0,Loyal Customers,3,5,5
CUST_00330,519,10,1737.5700000000002,1,Cannot Lose Them,2,3,4
CUST_00331,4,11,2771.5699999999997,2,Champions,5,4,4
CUST_00332,206,4,487.33,4,Potential Loyalists,4,2,2
CUST_00333,210,15,3148.64,6,Champions,4,4,4
CUST_00334,276,4,529.69,4,Need Attention,3,2,2
CUST_00335,406,2,107.1,1,Hibernating,2,1,1
CUST_00336,672,2,117.27,5,Hibernating,1,1,1
CUST_00337,614,3,354.56,1,Hibernating,1,2,2
CUST_00338,304,2,173.99,4,Need Attention,3,1,1
CUST_00339,228,8,1615.9499999999998,4,Need Attention,3,3,3
CUST_00340,120,7,547.97,2,Potential Loyalists,4,2,2
CUST_00341,467,14,1571.75,6,Loyal Customers,2,4,3
CUST_00342,407,1,134.46,1,Hibernating,2,1,1
CUST_00343,7,11,2709.77,2,Champions,5,4,4
CUST_00344,102,11,1780.44,2,Champions,4,4,4
CUST_00345,525,30,8914.65,0,Cannot Lose Them,2,5,5
CUST_00346,640,4,342.54,5,Hibernating,1,2,2
CUST_00347,526,7,411.07,1,Hibernating,2,2,2
CUST_00348,176,9,1148.3899999999999,2,Potential Loyalists,4,3,3
CUST_00349,229,12,1773.43,6,Loyal Customers,3,4,4
CUST_00350,820,2,27.75,5,Hibernating,1,1,1
CUST_00351,69,21,6794.3,7,Champions,4,5,5
CUST_00352,561,1,196.63,1,Hibernating,1,1,1
CUST_00353,51,40,11907.68,3,Champions,5,5,5
CUST_00354,398,28,6686.44,0,Cannot Lose Them,2,5,5
CUST_00355,174,27,10935.84,3,Champions,4,5,5
CUST_00356,144,2,94.92,4,New Customers,4,1,1
CUST_00357,15,33,6852.849999999999,7,Champions,5,5,5
CUST_00358,728,18,3755.96,0,Cannot Lose Them,1,4,4
CUST_00359,357,1,122.92,4,Need Attention,3,1,1
CUST_00360,563,13,2207.83,1,Cannot Lose Them,1,4,4
CUST_00361,365,18,3226.18,6,Loyal Customers,3,4,4
CUST_00362,17,9,871.39,2,Potential Loyalists,5,3,3
CUST_00363,24,13,1628.37,2,Loyal Customers,5,4,3
CUST_00364,1,8,1176.33,2,Potential Loyalists,5,3,3
CUST_00365,183,10,1682.43,2,Potential Loyalists,4,3,4
CUST_00366,352,2,455.51,4,Need Attention,3,1,2
CUST_00367,462,1,50.74,1,Hibernating,2,1,1
CUST_00368,502,2,466.93999999999994,1,Hibernating,2,1,2
CUST_00369,419,4,384.26,1,Hibernating,2,2,2
CUST_00370,581,4,200.32,1,Hibernating,1,2,1
CUST_00371,585,12,2176.98,1,Cannot Lose Them,1,4,4
CUST_00372,13,30,7426.03,7,Champions,5,5,5
CUST_00373,229,18,5965.24,7,Loyal Customers,3,4,5
CUST_00374,317,3,328.51,4,Need Attention,3,2,2
CUST_00375,348,11,1346.01,6,Loyal Customers,3,4,3
CUST_00376,327,42,11330.0,3,Loyal Customers,3,5,5
CUST_00377,117,2,73.28999999999999,4,New Customers,4,1,1
CUST_00378,529,1,8.56,1,Hibernating,2,1,1
CUST_00379,424,14,1901.55,6,Cannot Lose Them,2,4,4
CUST_00380,418,9,2282.19,1,Cannot Lose Them,2,3,4
CUST_00381,351,1,26.36,4,Need Attention,3,1,1
CUST_00382,10,31,10141.19,3,Champions,5,5,5
CUST_00383,311,3,784.23,4,Need Attention,3,2,2
CUST_00384,624,4,338.13,1,Hibernating,1,2,2
CUST_00385,39,5,614.3000000000001,2,Potential Loyalists,5,2,2
CUST_00386,17,37,12726.48,3,Champions,5,5,5
CUST_00387,152,15,2021.83,6,Champions,4,4,4
CUST_00388,504,5,662.5699999999999,1,Hibernating,2,2,2
CUST_00389,102,12,2077.5,2,Champions,4,4,4
CUST_00390,199,9,826.06,4,Potential Loyalists,4,3,2
CUST_00391,4,33,7407.12,7,Champions,5,5,5
CUST_00392,5,8,1584.4,2,Potential Loyalists,5,3,3
CUST_00393,17,8,1345.1,2,Potential Loyalists,5,3,3
CUST_00394,27,14,2481.65,2,Champions,5,4,4
CUST_00395,402,6,648.79,1,Hibernating,2,2,2
CUST_00396,748,1,152.67,5,Hibernating,1,1,1
CUST_00397,326,11,2381.58,6,Loyal Customers,3,4,4
CUST_00398,38,12,1432.59,2,Loyal Customers,5,4,3
CUST_00399,41,9,1233.1799999999998,2,Potential Loyalists,5,3,3
CUST_00400,206,6,567.81,4,Potential Loyalists,4,2,2
CUST_00401,278,2,122.75,4,Need Attention,3,1,1
CUST_00402,435,22,6110.610000000001,0,Cannot Lose Them,2,5,5
CUST_00403,400,1,73.03,4,Hibernating,2,1,1
CUST_00404,561,1,5.57,1,Hibernating,1,1,1
CUST_00405,72,6,538.4599999999999,2,Potential Loyalists,4,2,2
CUST_00406,28,31,8879.01,3,Champions,5,5,5
CUST_00407,413,24,8563.67,0,Cannot Lose Them,2,5,5
CUST_00408,70,15,2260.88,2,Champions,4,4,4
CUST_00409,175,5,522.28,4,Potential Loyalists,4,2,2
CUST_00410,58,2,63.18,2,New Customers,4,1,1
CUST_00411,572,12,1696.0,1,Cannot Lose Them,1,4,4
CUST_00412,257,39,10110.75,3,Loyal Customers,3,5,5
CUST_00413,388,10,1120.49,1,At Risk,2,3,3
CUST_00414,251,1,28.86,4,Need Attention,3,1,1
CUST_00415,238,24,5976.78,7,Loyal Customers,3,5,5
CUST_00416,45,5,909.62,2,Potential Loyalists,5,2,3
CUST_00417,746,3,747.4100000000001,5,Hibernating,1,2,2
CUST_00418,789,1,49.49,5,Hibernating,1,1,1
CUST_00419,195,5,1017.45,4,Potential Loyalists,4,2,3
CUST_00420,500,1,91.76,1,Hibernating,2,1,1
CUST_00421,338,1,193.91,4,Need Attention,3,1,1
CUST_00422,351,10,2240.86,6,Need Attention,3,3,4
CUST_00423,237,13,2268.2400000000002,6,Loyal Customers,3,4,4
CUST_00424,16,20,6737.59,7,Champions,5,5,5
CUST_00425,279,11,1907.8200000000002,6,Loyal Customers,3,4,4
CUST_00426,510,35,8528.61,0,Cannot Lose Them,2,5,5
CUST_00427,329,9,612.46,4,Need Attention,3,3,2
CUST_00428,677,4,400.43999999999994,5,Hibernating,1,2,2
CUST_00429,50,6,800.78,2,Potential Loyalists,5,2,2
CUST_00430,985,1,165.13,5,Hibernating,1,1,1
CUST_00431,15,9,1668.3,2,Potential Loyalists,5,3,4
CUST_00432,10,18,1928.46,2,Champions,5,4,4
CUST_00433,253,4,766.98,4,Need Attention,3,2,2
CUST_00434,172,22,7699.2699999999995,7,Champions,4,5,5
CUST_00435,63,6,609.13,2,Potential Loyalists,4,2,2
CUST_00436,24,16,2813.89,2,Champions,5,4,4
CUST_00437,21,11,1130.93,2,Loyal Customers,5,4,3
CUST_00438,39,5,486.7,2,Potential Loyalists,5,2,2
CUST_00439,590,13,2541.77,1,Cannot Lose Them,1,4,4
CUST_00440,330,12,2242.95,6,Loyal Customers,3,4,4
CUST_00441,299,33,8170.6900000000005,3,Loyal Customers,3,5,5
CUST_00442,895,1,89.11,5,Hibernating,1,1,1
CUST_00443,463,36,11543.71,3,Cannot Lose Them,2,5,5
CUST_00444,633,7,591.12,1,Hibernating,1,2,2
CUST_00445,443,2,91.77,1,Hibernating,2,1,1
CUST_00446,415,2,444.93,1,Hibernating,2,1,2
CUST_00447,222,3,360.2,4,Need Attention,3,2,2
CUST_00448,20,10,1705.44,2,Potential Loyalists,5,3,4
CUST_00449,13,5,747.31,2,Potential Loyalists,5,2,2
CUST_00450,84,2,137.55,4,New Customers,4,1,1
CUST_00451,311,12,1811.12,6,Loyal Customers,3,4,4
CUST_00452,40,11,1535.99,2,Loyal Customers,5,4,3
CUST_00453,387,21,6513.16,0,Cannot Lose Them,2,5,5
